Host_ID	Tissue	Sequence_ID	Sampling_time	_Sampling_date
16_5	Blood	16_5_Blood_1_3	2024.025269	2024-1-10
16_5	Lung	16_5_Lung_1_44	2024.025269	2024-1-10
16_6	Blood	16_6_Blood_1_2	2024.026367	2024-1-11
16_6	Lung	16_6_Lung_1_1	2024.026367	2024-1-11
16_4	Blood	16_4_Blood_2_2	2024.027466	2024-1-11
16_4	Lung	16_4_Lung_2_96	2024.027466	2024-1-11
16_3	Blood	16_3_Blood_1_2	2024.027466	2024-1-11
16_4	Blood	16_4_Blood_3_30	2024.028564	2024-1-12
16_4	Lung	16_4_Lung_3_1021	2024.028564	2024-1-12
16_9	Blood	16_9_Blood_1_13	2024.028564	2024-1-12
16_7	Blood	16_7_Blood_2_68	2024.029663	2024-1-12
16_7	Lung	16_7_Lung_2_0	2024.029663	2024-1-12
