Sequence_ID	Progeny_Cell_ID
0_2_Blood_1_0	0_2_Blood_0_0
0_2_Blood_1_1	0_2_Blood_0_0
0_2_Blood_1_2	0_2_Blood_0_0
0_2_Blood_1_3	0_2_Blood_0_0
0_2_Blood_1_4	0_2_Blood_0_0
0_2_Blood_1_5	0_2_Blood_0_0
0_2_Blood_1_6	0_2_Blood_0_0
0_2_Blood_1_7	0_2_Blood_0_0
0_2_Blood_1_8	0_2_Blood_0_0
0_2_Blood_1_9	0_2_Blood_0_0
0_2_Blood_1_10	0_2_Blood_0_0
0_2_Blood_1_11	0_2_Blood_0_0
0_2_Blood_1_12	0_2_Blood_0_0
0_2_Blood_1_13	0_2_Blood_0_0
0_2_Blood_1_14	0_2_Blood_0_0
0_2_Blood_1_15	0_2_Blood_0_0
0_2_Blood_1_16	0_2_Blood_0_0
0_2_Blood_1_17	0_2_Blood_0_0
0_2_Blood_1_18	0_2_Blood_0_0
0_2_Blood_1_19	0_2_Blood_0_0
0_2_Blood_1_20	0_2_Blood_0_0
0_2_Blood_1_21	0_2_Blood_0_0
0_2_Blood_1_22	0_2_Blood_0_0
0_2_Blood_1_23	0_2_Blood_0_0
0_2_Blood_1_24	0_2_Blood_0_0
0_2_Blood_1_25	0_2_Blood_0_0
0_2_Blood_1_26	0_2_Blood_0_0
