Sequence_ID	Parent_Cell_ID
16_10_Lung_0_0	16_10_Lung_0_0
16_10_Lung_0_1	16_10_Lung_0_0
16_10_Blood_1_0	16_10_Blood_1_0
16_10_Blood_1_3	16_10_Blood_1_0
16_10_Blood_1_1	16_10_Blood_1_0
16_10_Blood_1_2	16_10_Blood_1_0
16_10_Blood_1_4	16_10_Blood_1_0
16_10_Lung_1_3	16_10_Lung_1_0
16_10_Lung_1_31	16_10_Lung_1_0
16_10_Lung_1_33	16_10_Lung_1_0
16_10_Lung_1_9	16_10_Lung_1_0
16_10_Lung_1_12	16_10_Lung_1_0
16_10_Lung_1_27	16_10_Lung_1_0
16_10_Lung_1_35	16_10_Lung_1_0
16_10_Lung_1_18	16_10_Lung_1_0
16_10_Lung_1_21	16_10_Lung_1_0
16_10_Lung_1_24	16_10_Lung_1_0
16_10_Lung_1_22	16_10_Lung_1_1
16_10_Lung_1_38	16_10_Lung_1_1
16_10_Lung_1_7	16_10_Lung_1_1
16_10_Lung_1_11	16_10_Lung_1_1
16_10_Lung_1_30	16_10_Lung_1_1
