Sequence_ID	Parent_Cell_ID
16_4_Lung_0_0	16_4_Lung_0_0
16_4_Lung_1_6	16_4_Lung_1_0
16_4_Lung_1_5	16_4_Lung_1_0
16_4_Lung_1_7	16_4_Lung_1_0
16_4_Lung_1_25	16_4_Lung_1_0
16_4_Lung_1_0	16_4_Lung_1_0
16_4_Lung_1_21	16_4_Lung_1_0
16_4_Lung_1_26	16_4_Lung_1_0
16_4_Lung_1_24	16_4_Lung_1_0
16_4_Lung_1_22	16_4_Lung_1_0
16_4_Lung_1_23	16_4_Lung_1_0
16_4_Blood_2_1	16_4_Blood_2_0
16_4_Lung_2_35	16_4_Lung_2_0
16_4_Lung_2_190	16_4_Lung_2_0
16_4_Lung_2_198	16_4_Lung_2_0
16_4_Lung_2_174	16_4_Lung_2_0
16_4_Lung_2_208	16_4_Lung_2_0
16_4_Lung_2_98	16_4_Lung_2_0
16_4_Lung_2_129	16_4_Lung_2_0
16_4_Lung_2_111	16_4_Lung_2_0
16_4_Lung_2_215	16_4_Lung_2_1
16_4_Lung_2_95	16_4_Lung_2_1
16_4_Lung_2_37	16_4_Lung_2_1
16_4_Lung_2_2	16_4_Lung_2_1
16_4_Lung_2_27	16_4_Lung_2_1
16_4_Lung_2_97	16_4_Lung_2_1
16_4_Lung_2_108	16_4_Lung_2_1
16_4_Lung_2_29	16_4_Lung_2_1
16_4_Lung_2_131	16_4_Lung_2_1
16_4_Lung_2_77	16_4_Lung_2_1
16_4_Lung_2_153	16_4_Lung_2_1
16_4_Lung_2_163	16_4_Lung_2_1
16_4_Lung_2_26	16_4_Lung_2_1
16_4_Lung_2_155	16_4_Lung_2_1
16_4_Lung_2_53	16_4_Lung_2_1
16_4_Lung_2_130	16_4_Lung_2_1
16_4_Lung_2_113	16_4_Lung_2_1
16_4_Lung_2_1	16_4_Lung_2_1
16_4_Lung_2_103	16_4_Lung_2_1
16_4_Lung_2_161	16_4_Lung_2_1
16_4_Lung_2_43	16_4_Lung_2_2
16_4_Lung_2_22	16_4_Lung_2_2
16_4_Lung_2_187	16_4_Lung_2_2
16_4_Lung_2_82	16_4_Lung_2_2
16_4_Lung_2_143	16_4_Lung_2_2
16_4_Lung_2_116	16_4_Lung_2_2
16_4_Lung_2_57	16_4_Lung_2_2
16_4_Lung_2_135	16_4_Lung_2_2
16_4_Lung_2_127	16_4_Lung_2_2
16_4_Lung_2_109	16_4_Lung_2_3
16_4_Lung_2_39	16_4_Lung_2_3
16_4_Lung_2_210	16_4_Lung_2_3
16_4_Lung_2_107	16_4_Lung_2_3
16_4_Lung_2_166	16_4_Lung_2_3
16_4_Lung_2_142	16_4_Lung_2_3
16_4_Lung_2_74	16_4_Lung_2_3
16_4_Lung_2_89	16_4_Lung_2_3
16_4_Lung_2_186	16_4_Lung_2_3
16_4_Lung_2_110	16_4_Lung_2_3
16_4_Lung_2_45	16_4_Lung_2_3
16_4_Lung_2_14	16_4_Lung_2_3
16_4_Lung_2_94	16_4_Lung_2_3
16_4_Lung_2_152	16_4_Lung_2_3
16_4_Lung_2_36	16_4_Lung_2_3
16_4_Lung_2_25	16_4_Lung_2_3
16_4_Lung_2_220	16_4_Lung_2_3
16_4_Lung_2_147	16_4_Lung_2_4
16_4_Lung_2_123	16_4_Lung_2_4
16_4_Lung_2_31	16_4_Lung_2_4
16_4_Lung_2_112	16_4_Lung_2_4
16_4_Lung_2_192	16_4_Lung_2_4
16_4_Lung_2_12	16_4_Lung_2_4
16_4_Lung_2_134	16_4_Lung_2_4
16_4_Lung_2_69	16_4_Lung_2_4
16_4_Lung_2_93	16_4_Lung_2_4
16_4_Lung_2_117	16_4_Lung_2_4
16_4_Lung_2_154	16_4_Lung_2_4
16_4_Lung_2_46	16_4_Lung_2_4
16_4_Lung_2_99	16_4_Lung_2_4
16_4_Lung_2_4	16_4_Lung_2_4
16_4_Lung_2_101	16_4_Lung_2_4
16_4_Lung_2_193	16_4_Lung_2_5
16_4_Lung_2_206	16_4_Lung_2_6
16_4_Lung_2_56	16_4_Lung_2_6
16_4_Lung_2_71	16_4_Lung_2_6
16_4_Lung_2_67	16_4_Lung_2_6
16_4_Lung_2_3	16_4_Lung_2_7
16_4_Lung_2_171	16_4_Lung_2_7
16_4_Lung_2_11	16_4_Lung_2_7
16_4_Lung_2_175	16_4_Lung_2_7
16_4_Lung_2_177	16_4_Lung_2_7
16_4_Lung_2_124	16_4_Lung_2_7
16_4_Lung_2_205	16_4_Lung_2_7
16_4_Lung_2_15	16_4_Lung_2_8
16_4_Lung_2_52	16_4_Lung_2_8
16_4_Lung_2_20	16_4_Lung_2_8
16_4_Lung_2_121	16_4_Lung_2_8
16_4_Lung_2_78	16_4_Lung_2_9
16_4_Lung_2_9	16_4_Lung_2_9
16_4_Lung_2_221	16_4_Lung_2_9
16_4_Lung_2_162	16_4_Lung_2_9
16_4_Lung_2_81	16_4_Lung_2_9
16_4_Lung_2_150	16_4_Lung_2_9
16_4_Lung_2_196	16_4_Lung_2_9
16_4_Lung_2_132	16_4_Lung_2_9
16_4_Lung_2_139	16_4_Lung_2_9
16_4_Lung_2_72	16_4_Lung_2_9
