Sequence_ID	Host	Tissue
16_8_Lung_0_0	16_8	Lung
16_0_Blood_1_0	16_0	Lung
16_8_Lung_1_0	16_8	Lung
16_8_Lung_1_1	16_8	Lung
16_8_Lung_1_2	16_8	Lung
16_8_Lung_1_3	16_8	Lung
16_8_Lung_1_4	16_8	Lung
16_8_Lung_1_5	16_8	Lung
16_8_Lung_1_6	16_8	Lung
16_8_Lung_1_7	16_8	Lung
16_8_Lung_1_8	16_8	Lung
16_8_Lung_1_9	16_8	Lung
16_8_Lung_1_10	16_8	Lung
16_8_Lung_1_11	16_8	Lung
16_8_Blood_1_0	16_8	Blood
16_8_Blood_1_1	16_8	Blood
17_0_Blood_0_0	17_0	Blood
16_8_Blood_2_0	16_8	Blood
16_8_Blood_2_1	16_8	Blood
16_8_Blood_2_2	16_8	Blood
16_8_Blood_2_3	16_8	Blood
16_8_Blood_2_4	16_8	Blood
16_8_Blood_2_5	16_8	Blood
16_8_Blood_2_6	16_8	Blood
16_8_Blood_2_7	16_8	Blood
16_8_Blood_2_8	16_8	Blood
16_8_Blood_2_9	16_8	Blood
16_8_Blood_2_10	16_8	Blood
16_8_Blood_2_11	16_8	Blood
16_8_Blood_2_12	16_8	Blood
16_8_Blood_2_13	16_8	Blood
16_8_Blood_2_14	16_8	Blood
16_8_Blood_2_15	16_8	Blood
16_8_Blood_2_16	16_8	Blood
16_8_Blood_2_17	16_8	Blood
16_8_Blood_2_18	16_8	Blood
16_8_Blood_2_19	16_8	Blood
16_8_Blood_2_20	16_8	Blood
16_8_Blood_2_21	16_8	Blood
16_8_Blood_2_22	16_8	Blood
16_8_Blood_2_23	16_8	Blood
16_8_Lung_2_0	16_8	Lung
16_8_Lung_2_1	16_8	Lung
16_8_Lung_2_2	16_8	Lung
16_8_Lung_2_3	16_8	Lung
16_8_Blood_2_24	16_8	Blood
16_8_Blood_2_25	16_8	Blood
