Generation	Pa	Pb	Pab	cLD
0	0.500000	0.500000	0.500000	1.000000
1	0.575682402	0.543424308	0.414392054	0.170158342
2	0.599337757	0.602649033	0.41390729	0.0483294763
3	0.617529869	0.665338635	0.418326706	0.00105828186
4	0.578199029	0.677725136	0.388625592	0.00019639339
5	0.668674707	0.686747015	0.457831323	3.99019445e-05
6	0.685950398	0.702479362	0.504132211	0.0110116126
7	0.690721631	0.752577305	0.50515461	0.00540788239
8	0.772727251	0.784090936	0.602272749	0.000439712108
9	0.800000012	0.871428549	0.699999988	0.000455375208
10	0.745098054	0.921568632	0.686274529	1.07665264e-05
