Generation	Pa	Pb	Pab	cLD
0	0.500000	0.500000	0.500000	1.000000
1	0.745344758	0.743331671	0.606441855	0.0758326054
2	0.864512622	0.864241123	0.759435236	0.0109869922
3	0.92355442	0.926821291	0.859032989	0.00195939443
4	0.95588237	0.95831573	0.917477787	0.00123211707
5	0.973941147	0.974528372	0.949717402	0.000541593181
6	0.985034108	0.985460162	0.971026838	0.000469605642
7	0.991035759	0.991479933	0.982677162	9.65354629e-05
8	0.994539976	0.994603097	0.989332497	0.000878039456
9	0.996603906	0.99706012	0.99371469	0.000166561935
10	0.997840106	0.998027027	0.995887935	6.46983171e-05
