Gene_name	Bifidobacterium adolescentis	Bifidobacterium angulatum DSM 20098 JCM 7096	Bifidobacterium animalis	Bifidobacterium animalis subsp animalis YL2	Bifidobacterium animalis subsp. lactis BLC1	Bifidobacterium bifidum NCIMB 41171	Bifidobacterium breve	Bifidobacterium catenulatum DSM 16992 JCM 1194 LMG 11043	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 DSM 21854	Bifidobacterium dentium ATCC27678	Bifidobacterium longum JMC1217	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudolongum	Bifidobacterium thermophilum	Bifidobacterium-infantis-subsp-suis-DSM20211	Bifidobacterium-longum-infantis-subsp-infantis-ATCC15697
A4U98_RS00015	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00020	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00025	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00030	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00040	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00045	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00050	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00055	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00065	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00085	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00090	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00105	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00115	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00120	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00145	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00155	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00165	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00170	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00180	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00205	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00210	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00215	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00220	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00235	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00270	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00280	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00285	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00295	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00305	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00310	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00325	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00330	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00350	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00355	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00360	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00370	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00375	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00380	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00385	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00390	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00395	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00400	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00415	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00420	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00425	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00430	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00435	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00440	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00450	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00455	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00460	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00485	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00490	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00495	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00500	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00505	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00510	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00515	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00520	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS00525	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
